log_id,customer_key,log_date,topic,category,description,sentiment,channel,priority,resolution_date,agent_key
57,14656,2024-05-03,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Email,Hoch,2024-05-09,131
58,10100,2023-09-19,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Telefon,Kritisch,2023-09-21,110
59,5543,2024-01-31,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Email,Kritisch,2024-02-07,34
60,16531,2024-05-30,Tarif,Vertrag,Vertragsverlängerung,Neutral,Chat,Niedrig,2024-06-01,107
61,3280,2023-12-26,Wallbox,E-Mobility,App-Verbindung unterbrochen,Negativ,Telefon,Kritisch,2023-12-30,80
62,4924,2024-03-19,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Email,Mittel,2024-03-22,123
63,7491,2024-12-25,Rechnung,Abrechnung,Gutschrift angefragt,Negativ,Chat,Kritisch,2024-12-30,34
64,1397,2023-01-21,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Telefon,Mittel,2023-02-01,195
65,13358,2024-08-21,Wallbox,E-Mobility,App-Verbindung unterbrochen,Neutral,Telefon,Mittel,2024-08-29,136
66,3337,2024-11-02,Wärmepumpe,Technisch,Geräuschentwicklung zu hoch,Neutral,Email,Niedrig,2024-11-13,52
67,4380,2024-12-26,Allgemein,Service,Lob,Positiv,Email,Niedrig,2025-01-05,171
68,3155,2023-02-22,Speicher,Technisch,Speicher lädt nicht,Negativ,Chat,Hoch,2023-02-22,130
69,11365,2024-08-28,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Mittel,2024-09-01,105
70,1585,2023-04-08,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Email,Mittel,2023-04-21,35
71,4722,2024-09-26,Wärmepumpe,Technisch,Geräuschentwicklung zu hoch,Neutral,App,Mittel,2024-10-09,86
72,15602,2023-02-11,Rechnung,Abrechnung,Rechnungsfrage,Neutral,App,Hoch,2023-02-12,102
73,4267,2025-04-25,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,App,Hoch,2025-04-30,118
74,4166,2025-04-13,Allgemein,Service,Informationsanfrage,Neutral,Email,Mittel,2025-04-16,59
75,12681,2025-03-14,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,Email,Niedrig,2025-03-25,184
76,6576,2023-09-21,Smart Meter,Installation,Smart Meter defekt,Negativ,Telefon,Kritisch,2023-09-24,49
77,14991,2024-03-24,Speicher,Technisch,Speicher lädt nicht,Negativ,Email,Kritisch,2024-03-31,26
78,10690,2025-06-27,Speicher,Technisch,Batteriespeicher Störung,Negativ,Telefon,Kritisch,2025-07-02,48
79,6316,2025-01-30,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,App,Mittel,2025-02-08,52
80,18455,2024-08-21,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Email,Niedrig,2024-08-22,47
81,2030,2024-09-04,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Hoch,2024-09-09,52
82,16331,2023-07-20,Allgemein,Service,Informationsanfrage,Neutral,Email,Kritisch,2023-07-23,69
83,7357,2025-01-07,Allgemein,Service,Kontaktdaten ändern,Neutral,Chat,Mittel,2025-01-21,196
84,19116,2024-07-23,Tarif,Vertrag,Umzug melden,Positiv,Email,Mittel,2024-08-01,88
85,11353,2024-10-22,Speicher,Technisch,Speicher lädt nicht,Negativ,Email,Kritisch,2024-10-22,112
86,14695,2025-05-22,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Mittel,2025-06-04,38
87,7199,2024-11-12,Tarif,Vertrag,Tarifwechsel angefragt,Positiv,Telefon,Mittel,2024-11-13,142
88,15422,2023-09-26,Allgemein,Service,Beschwerde,Negativ,Telefon,Kritisch,2023-09-30,56
89,12697,2025-06-09,Wallbox,E-Mobility,App-Verbindung unterbrochen,Neutral,App,Mittel,2025-06-17,144
90,19871,2023-10-26,Solar,Technisch,Wechselrichter Fehler,Neutral,App,Niedrig,2023-11-02,119
91,4401,2024-11-27,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2024-11-28,24
92,9376,2023-02-19,Tarif,Vertrag,Vertragsverlängerung,Neutral,Chat,Niedrig,2023-03-05,63
93,2991,2024-04-01,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Email,Mittel,2024-04-02,142
94,19846,2023-10-18,Speicher,Technisch,Kapazität gesunken,Neutral,App,Niedrig,2023-10-28,39
95,2604,2025-05-03,Solar,Technisch,Einspeisevergütung Frage,Neutral,App,Niedrig,2025-05-12,46
96,1077,2024-01-17,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Telefon,Niedrig,2024-01-23,51
97,14202,2023-10-30,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Email,Niedrig,2023-10-31,131
98,16483,2023-08-16,Wallbox,E-Mobility,Wallbox Installation angefragt,Negativ,Telefon,Mittel,2023-08-20,176
99,1170,2023-06-09,Solar,Technisch,Einspeisevergütung Frage,Neutral,App,Hoch,2023-06-14,66
100,8440,2023-11-30,Speicher,Technisch,Kapazität gesunken,Neutral,Email,Mittel,2023-12-14,47
101,14507,2025-05-23,Allgemein,Service,Kontaktdaten ändern,Neutral,Email,Niedrig,2025-05-30,55
102,14980,2024-03-23,Tarif,Vertrag,Vertragsverlängerung,Neutral,App,Hoch,2024-03-23,185
103,16314,2024-09-16,Allgemein,Service,Informationsanfrage,Neutral,App,Hoch,2024-09-17,93
104,10074,2023-03-05,Wallbox,E-Mobility,App-Verbindung unterbrochen,Negativ,Telefon,Mittel,2023-03-14,165
105,8614,2023-11-09,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Chat,Mittel,2023-11-12,44
106,16133,2023-12-26,Solar,Technisch,Einspeisevergütung Frage,Neutral,App,Mittel,2023-12-29,40
107,4995,2023-06-29,Wallbox,E-Mobility,Wallbox defekt,Negativ,Email,Kritisch,2023-07-05,188
108,9092,2025-03-18,Solar,Technisch,Wechselrichter Fehler,Neutral,Telefon,Mittel,2025-03-18,200
109,19339,2024-09-01,Tarif,Vertrag,Kündigung,Neutral,App,Mittel,2024-09-05,136
110,1998,2023-01-19,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Chat,Niedrig,2023-01-30,129
111,9553,2024-10-31,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Email,Niedrig,2024-11-09,143
112,16856,2023-06-29,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Hoch,2023-07-04,169
113,7383,2023-08-15,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Mittel,2023-08-16,30
114,19917,2024-10-29,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Hoch,2024-11-02,1
115,10392,2024-12-23,Speicher,Technisch,Kapazität gesunken,Neutral,App,Niedrig,2025-01-06,116
116,7856,2023-01-19,Wärmepumpe,Technisch,Geräuschentwicklung zu hoch,Neutral,Telefon,Mittel,2023-01-22,9
117,5950,2023-07-26,Smart Meter,Installation,Smart Meter Installation angefragt,Negativ,Chat,Mittel,2023-07-31,71
118,16196,2024-11-22,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Chat,Hoch,2024-11-23,19
119,12914,2024-03-14,Allgemein,Service,Informationsanfrage,Negativ,Email,Mittel,2024-03-16,16
120,16989,2023-09-03,Tarif,Vertrag,Ökostrom Umstellung,Negativ,Email,Niedrig,2023-09-04,95
121,5530,2025-04-22,Speicher,Technisch,Kapazität gesunken,Neutral,Chat,Mittel,2025-05-02,144
122,10712,2023-03-30,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Kritisch,2023-03-30,48
123,1029,2024-05-22,Wallbox,E-Mobility,App-Verbindung unterbrochen,Positiv,Telefon,Niedrig,2024-06-03,66
124,1669,2023-01-17,Rechnung,Abrechnung,Abschlag anpassen,Neutral,Chat,Hoch,2023-01-19,21
125,13455,2023-01-31,Smart Meter,Installation,Smart Meter defekt,Negativ,App,Niedrig,2023-02-01,167
126,11889,2025-04-22,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Chat,Kritisch,2025-04-28,168
127,9225,2023-01-26,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,App,Mittel,2023-02-08,198
128,9629,2023-06-29,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Email,Mittel,2023-07-11,173
129,14166,2024-12-18,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Email,Mittel,2024-12-30,150
130,10757,2023-12-26,Rechnung,Abrechnung,Abschlag anpassen,Neutral,Chat,Mittel,2024-01-03,186
131,13433,2024-07-02,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Hoch,2024-07-09,84
132,9220,2025-05-24,Wallbox,E-Mobility,App-Verbindung unterbrochen,Positiv,Email,Mittel,2025-05-30,179
133,19730,2023-05-04,Tarif,Vertrag,Ökostrom Umstellung,Neutral,Chat,Mittel,2023-05-13,112
134,1044,2024-08-11,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Telefon,Mittel,2024-08-13,46
135,8662,2024-03-15,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Negativ,Email,Niedrig,2024-03-24,20
136,12045,2024-05-19,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,App,Hoch,2024-05-19,87
137,16844,2025-02-17,Allgemein,Service,Lob,Positiv,Email,Niedrig,2025-02-20,25
138,5404,2025-01-22,Rechnung,Abrechnung,Gutschrift angefragt,Negativ,App,Mittel,2025-01-30,185
139,1565,2024-09-30,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Kritisch,2024-10-03,51
140,13238,2023-02-03,Allgemein,Service,Kontaktdaten ändern,Positiv,App,Niedrig,2023-02-03,132
141,5856,2024-04-08,Speicher,Technisch,Kapazität gesunken,Positiv,App,Hoch,2024-04-13,200
142,14147,2024-09-11,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,App,Hoch,2024-09-18,135
143,8907,2023-02-08,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,Telefon,Mittel,2023-02-19,34
144,19258,2025-04-28,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Email,Mittel,2025-05-12,175
145,12512,2024-06-13,Smart Meter,Installation,Smart Meter Installation angefragt,Positiv,Telefon,Mittel,2024-06-19,107
146,19678,2024-11-20,Allgemein,Service,Kontaktdaten ändern,Neutral,Telefon,Niedrig,2024-11-28,111
147,19199,2023-06-17,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Telefon,Mittel,2023-06-18,81
148,11032,2023-08-10,Allgemein,Service,Informationsanfrage,Positiv,App,Mittel,2023-08-17,157
149,7139,2025-05-07,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Email,Mittel,2025-05-19,56
150,8328,2023-08-09,Speicher,Technisch,Batteriespeicher Störung,Negativ,Telefon,Mittel,2023-08-10,142
151,5873,2024-01-06,Tarif,Vertrag,Umzug melden,Positiv,Email,Mittel,2024-01-18,57
152,7325,2024-06-07,Wärmepumpe,Technisch,Geräuschentwicklung zu hoch,Neutral,Telefon,Mittel,2024-06-11,100
153,15439,2025-05-24,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,App,Mittel,2025-05-29,199
154,5671,2023-12-06,Tarif,Vertrag,Preisgarantie Frage,Negativ,App,Mittel,2023-12-14,156
155,6784,2024-11-22,Solar,Technisch,Solaranlage produziert nicht,Negativ,App,Hoch,2024-11-29,177
156,18838,2024-10-26,Allgemein,Service,Kontaktdaten ändern,Neutral,Email,Mittel,2024-11-07,141
157,2854,2024-02-10,Tarif,Vertrag,Preisgarantie Frage,Neutral,Email,Niedrig,2024-02-16,119
158,7548,2025-01-10,Allgemein,Service,Beschwerde,Negativ,Email,Kritisch,2025-01-16,176
159,3467,2024-07-07,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Email,Mittel,2024-07-15,154
160,40,2024-12-24,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,App,Niedrig,2025-01-04,37
161,10960,2023-12-25,Tarif,Vertrag,Ökostrom Umstellung,Neutral,Telefon,Niedrig,2024-01-07,103
162,10413,2024-06-17,Rechnung,Abrechnung,Gutschrift angefragt,Neutral,Chat,Niedrig,2024-06-27,49
163,5736,2023-06-23,Speicher,Technisch,Kapazität gesunken,Positiv,Chat,Hoch,2023-06-29,112
164,18078,2023-08-18,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Hoch,2023-08-21,93
165,8825,2023-03-02,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Niedrig,2023-03-08,56
166,9042,2023-04-27,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,App,Mittel,2023-05-02,75
167,12143,2024-01-20,Tarif,Vertrag,Umzug melden,Positiv,Chat,Niedrig,2024-01-31,56
168,16890,2023-08-12,Rechnung,Abrechnung,Abschlag anpassen,Neutral,Email,Mittel,2023-08-18,73
169,4864,2023-06-01,Tarif,Vertrag,Preisgarantie Frage,Positiv,Chat,Niedrig,2023-06-05,154
170,12580,2023-06-12,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Niedrig,2023-06-16,17
171,7168,2024-05-28,Solar,Technisch,Wechselrichter Fehler,Neutral,App,Mittel,2024-05-29,121
172,9023,2024-01-02,Tarif,Vertrag,Ökostrom Umstellung,Neutral,Email,Niedrig,2024-01-09,162
173,11912,2024-02-12,Allgemein,Service,Kontaktdaten ändern,Negativ,Telefon,Kritisch,2024-02-14,5
174,3647,2023-06-24,Wallbox,E-Mobility,Wallbox Installation angefragt,Positiv,Chat,Kritisch,2023-06-28,79
175,13391,2024-10-23,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,App,Hoch,2024-10-27,59
176,12098,2024-04-25,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Email,Hoch,2024-04-29,134
177,18126,2024-03-21,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Email,Hoch,2024-03-27,80
178,17925,2024-09-11,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Hoch,2024-09-18,91
179,16513,2023-04-15,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Telefon,Mittel,2023-04-16,93
180,11418,2024-03-27,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Chat,Niedrig,2024-03-27,44
181,17556,2024-11-28,Tarif,Vertrag,Umzug melden,Neutral,Email,Mittel,2024-12-06,45
182,2647,2023-05-09,Speicher,Technisch,Kapazität gesunken,Neutral,Telefon,Mittel,2023-05-19,85
183,14178,2023-09-30,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Telefon,Kritisch,2023-10-01,88
184,15666,2025-05-28,Speicher,Technisch,Batteriespeicher Störung,Negativ,Email,Kritisch,2025-06-03,183
185,1168,2023-01-06,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Kritisch,2023-01-06,70
186,14372,2023-07-05,Smart Meter,Installation,Smart Meter Installation angefragt,Negativ,Chat,Mittel,2023-07-06,102
187,10769,2025-06-12,Tarif,Vertrag,Ökostrom Umstellung,Neutral,App,Mittel,2025-06-21,167
188,11864,2023-04-16,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Telefon,Mittel,2023-04-16,158
189,19689,2023-03-16,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Telefon,Mittel,2023-03-19,105
190,3885,2024-12-22,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Niedrig,2024-12-25,186
191,18451,2023-06-08,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Telefon,Niedrig,2023-06-14,151
192,8128,2024-05-23,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Niedrig,2024-05-31,18
193,1709,2023-10-13,Allgemein,Service,Allgemeine Anfrage,Neutral,Email,Niedrig,2023-10-13,48
194,793,2025-06-19,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Telefon,Niedrig,2025-06-22,184
195,10109,2023-04-28,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Kritisch,2023-05-05,64
196,1899,2024-09-24,Allgemein,Service,Kontaktdaten ändern,Positiv,App,Mittel,2024-10-02,166
197,4545,2025-01-08,Allgemein,Service,Allgemeine Anfrage,Neutral,Telefon,Mittel,2025-01-08,62
198,15192,2025-03-26,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Telefon,Hoch,2025-04-02,95
199,5095,2023-05-05,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Email,Hoch,2023-05-06,105
200,17604,2024-01-22,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,App,Hoch,2024-01-26,92
201,2093,2024-12-28,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Positiv,Chat,Hoch,2024-12-28,84
202,4227,2024-03-22,Rechnung,Abrechnung,Gutschrift angefragt,Negativ,Chat,Mittel,2024-04-02,190
203,4585,2025-06-18,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Chat,Mittel,2025-06-19,129
204,15533,2024-12-05,Wallbox,E-Mobility,App-Verbindung unterbrochen,Neutral,Telefon,Niedrig,2024-12-06,155
205,5287,2023-12-07,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Mittel,2023-12-13,46
206,2411,2025-03-09,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Hoch,2025-03-09,123
207,11989,2023-05-07,Tarif,Vertrag,Kündigung,Positiv,App,Niedrig,2023-05-18,197
208,2618,2024-02-06,Speicher,Technisch,Kapazität gesunken,Neutral,App,Mittel,2024-02-07,116
209,15511,2023-08-05,Solar,Technisch,Solaranlage produziert nicht,Negativ,Chat,Mittel,2023-08-09,179
210,14395,2023-12-04,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Telefon,Hoch,2023-12-04,92
211,3954,2025-01-07,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Kritisch,2025-01-10,162
212,16556,2023-12-26,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Email,Hoch,2023-12-30,164
213,3694,2023-05-11,Speicher,Technisch,Kapazität gesunken,Neutral,Email,Mittel,2023-05-13,169
214,1074,2024-03-31,Rechnung,Abrechnung,Abschlag zu hoch,Neutral,Email,Mittel,2024-04-01,184
215,7163,2025-04-12,Wallbox,E-Mobility,App-Verbindung unterbrochen,Negativ,App,Mittel,2025-04-12,7
216,2800,2023-04-22,Allgemein,Service,Informationsanfrage,Neutral,Chat,Mittel,2023-04-22,37
217,10956,2025-04-24,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Positiv,Telefon,Kritisch,2025-04-28,24
218,17551,2023-02-27,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Telefon,Mittel,2023-03-11,134
219,13498,2024-11-18,Tarif,Vertrag,Ökostrom Umstellung,Neutral,Email,Hoch,2024-11-19,61
220,8480,2025-05-20,Smart Meter,Installation,Smart Meter defekt,Negativ,App,Niedrig,2025-05-20,22
221,12192,2023-03-22,Solar,Technisch,Solaranlage Ertrag niedrig,Positiv,Email,Mittel,2023-03-28,72
222,10320,2024-02-25,Tarif,Vertrag,Umzug melden,Negativ,App,Niedrig,2024-02-29,57
223,3766,2025-03-10,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Chat,Mittel,2025-03-11,6
224,6197,2024-04-07,Wärmepumpe,Technisch,Effizienz zu niedrig,Positiv,App,Mittel,2024-04-10,192
225,4204,2024-09-06,Wallbox,E-Mobility,Wallbox defekt,Negativ,App,Kritisch,2024-09-07,39
226,8995,2023-04-09,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Hoch,2023-04-13,30
227,8278,2023-12-06,Speicher,Technisch,Kapazität gesunken,Negativ,Telefon,Niedrig,2023-12-15,72
228,7412,2025-04-22,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,App,Mittel,2025-04-28,184
229,10794,2023-11-04,Smart Meter,Installation,Smart Meter zeigt keine Daten,Negativ,Email,Hoch,2023-11-05,39
230,12266,2023-03-12,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,App,Mittel,2023-03-12,115
231,15911,2025-01-09,Solar,Technisch,Solaranlage produziert nicht,Negativ,Email,Hoch,2025-01-13,70
232,4705,2024-01-01,Tarif,Vertrag,Kündigung,Neutral,Chat,Mittel,2024-01-10,52
233,15670,2023-04-02,Allgemein,Service,Beschwerde,Negativ,App,Hoch,2023-04-09,129
234,4047,2023-01-08,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Chat,Hoch,2023-01-08,74
235,13909,2024-07-05,Solar,Technisch,Wechselrichter Fehler,Positiv,Chat,Mittel,2024-07-10,19
236,19841,2023-03-18,Allgemein,Service,Beschwerde,Negativ,App,Mittel,2023-03-20,149
237,19889,2024-03-26,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Hoch,2024-04-02,30
238,9710,2023-11-02,Allgemein,Service,Beschwerde,Negativ,App,Mittel,2023-11-07,66
239,5383,2024-02-16,Tarif,Vertrag,Preisgarantie Frage,Negativ,Telefon,Mittel,2024-02-17,90
240,9993,2024-06-01,Wallbox,E-Mobility,Wallbox defekt,Negativ,Telefon,Kritisch,2024-06-01,90
